Review,Cleaned_Review,Sentiment,Word_Count
If you really want to have a good read on something digital this is the item you're looking for. It really is lightweight and highly functional. The battery lasts a long time and the screen is easy on the eyes. The only difficulty sometimes is reading in extremely bright environments. Overall an excellent buy.,really want good read something digital item looking really lightweight highly functional battery lasts long time screen easy eyes difficulty sometimes reading extremely bright environments overall excellent buy,Positive,28
"Love my kindle, makes reading at night so easy and it feels like you are reading a real book.",love kindle makes reading night easy feels like reading real book,Positive,11
Good product for child. Who only need to read the books,good product child need read books,Positive,6
This Kindle is a convenient size yet lettering is easy to read.,kindle convenient size yet lettering easy read,Positive,7
"I use this every day on my commute. Great battery life, no backlight but very readable with normal lighting. I like the built in dictionary. Email yourself pdf or mobi files for easy transfers.",use every day commute great battery life backlight readable normal lighting like built dictionary email pdf mobi files easy transfers,Positive,20
It does its job but I would buy one which the screen is brighter. There are times that it's difficult to read because screen is not too bright,job would buy one screen brighter times difficult read screen bright,Positive,11
Great product for myself! And I bought it when there was great deal on it!,great product bought great deal,Positive,5
Item work well and was easy to read from in day light,item work well easy read day light,Positive,7
Great product and service will refer to a friend. And the sales man r good,great product service refer friend sales man r good,Positive,9
Everything is great except that i can't read external pdfs properly. Either it zooms too much of too little. For kindle books it provides great experience. Battery life is awesome!,everything great except ca read external pdfs properly either zooms much little kindle books provides great experience battery life awesome,Positive,20
"I was looking for a kindle whitepaper. I saw online for $80. What a deal. I ordered it on line and picked it up in the store. I got it home and couldn't adjust the brightness. After a lengthy time with online customer service I called customer service. After 20 minuets with speaking to a female Elmer Fud that doesn't speak english well I figured I would just return it. Although it looks Identical to the $120 model, you can not adjust the brightness. That would have been good information before I bought it.",looking kindle whitepaper saw online deal ordered line picked store got home could adjust brightness lengthy time online customer service called customer service minuets speaking female elmer fud speak english well figured would return although looks identical model adjust brightness would good information bought,Positive,44
This is a nice bare-bones reading device. Easy to set up and use. My greatest issue is that it isn't back lit so it can't be used w/o a light on in the room. Returning it an purchasing a paperwhite instead.,nice reading device easy set use greatest issue back lit ca used light room returning purchasing paperwhite instead,Positive,18
"Easy to use and navigate, purchasing books is fast and simple and I love the fact that I can password protect this device",easy use navigate purchasing books fast simple love fact password protect device,Positive,12
The Amazon Kindle is light weight and easy to use.,amazon kindle light weight easy use,Positive,6
"I love hear readers, I had to replace mine because I destroyed the last, but it is awesome",love hear readers replace mine destroyed last awesome,Positive,8
Love the simplicity. Also love that I use it for reading only and can't download distracting apps.,love simplicity also love use reading ca download distracting apps,Positive,10
My husband loves this Kindle. He has a muscular disease keeping him from being able to handle anything with much weight at all. This is perfect.,husband loves kindle muscular disease keeping able handle anything much weight perfect,Positive,12
I've wanted a kindle for a while and decided to get it when BB put it on sale. I am not disappointed.,wanted kindle decided get bb put sale disappointed,Negative,8
I have several Kindles so knew what to expect. It is a great reading device and I keep several in different locations.,several kindles knew expect great reading device keep several different locations,Positive,11
"I like this e reader, but wish the screen were higher resolution. It requires decent light to look good, but it is easy on my eyes. The screen updates involve flashing the whole screen, which I noticed less over time. The advertised month long battery life is just standby time, it lasts much less if you are downloading and reading books.",like e reader wish screen higher resolution requires decent light look good easy eyes screen updates involve flashing whole screen noticed less time advertised month long battery life standby time lasts much less downloading reading books,Positive,36
My fiancée really enjoyes it! I would definitely recommend.,really enjoyes would definitely recommend,Positive,5
"Simple, great buy for your money if you are an avid reader.",simple great buy money avid reader,Positive,6
I like the changes that have been made since my current 4 year old unit was purchased,like changes made since current year old unit purchased,Positive,9
Fits nicely in your hand and its touchable. increase the size of the fonts,fits nicely hand touchable increase size fonts,Positive,7
"Great buy, do a lot of reading and he no glear screen is awesome while in the sun.",great buy lot reading glear screen awesome sun,Positive,8
I lie the size and weight for the kindle-makes it very convenient to take large books with me in digital format.,lie size weight convenient take large books digital format,Positive,9
Great price and works great for book reading. Would recommend,great price works great book reading would recommend,Positive,8
Got it when it was on sale. Totally fall in love with it. Bring with it me everywhere.,got sale totally fall love bring everywhere,Positive,7
I never used kindle before. My wife gifted me on my birthday. This is the amazing product. I am using it for daily reading. The display is fantastic and no strain on eyes.,never used kindle wife gifted birthday amazing product using daily reading display fantastic strain eyes,Positive,15
I bought this with paper white and didn’t see much of a difference in terms of resolution and use. I totally recommend this reader as it’s so small and powerful!,bought paper white see much difference terms resolution use totally recommend reader small powerful,Positive,14
The sales people are really nice and knowledgeable to me I will come back again,sales people really nice knowledgeable come back,Positive,7
I'm a longtime Kindle user and jumped at the opportunity to bring my granddaughter into the fold with this gift. She loved it!,longtime kindle user jumped opportunity bring granddaughter fold gift loved,Positive,10
"Overall good product, does what is advertised, comfortable to use.",overall good product advertised comfortable use,Positive,6
"The kindle has come in very handy lately, I always have a book to read and this is great to just grab on the go. Battery life is great, only drawback is no backlight.",kindle come handy lately always book read great grab go battery life great drawback backlight,Positive,15
"I am loving my new Kindle! I have wanted one for a while and finally bought one, and even though it was the cheapest one, it has exceeded my expectations. I love how there is no glare.",loving new kindle wanted one finally bought one even though cheapest one exceeded expectations love glare,Positive,16
"I already has an older version of the Kindle, but this one is even better. I love the touch screen and the ability to scroll without buttons.",already older version kindle one even better love touch screen ability scroll without buttons,Positive,14
"Bought this for my 90+ year-old, totally no-tech mom. Her first e-book is Gone with the Wind. She likes the size and ease of use.",bought totally mom first gone wind likes size ease use,Positive,10
"Amazon kindle products have always been reliable, consistent quality and this is no different. Very happy with it.",amazon kindle products always reliable consistent quality different happy,Positive,9
working well and very cheap if we think in the price way,working well cheap think price way,Positive,6
"The battery doesn't last as long as was advertised, if you have the money I would recommend the backlit model.",battery last long advertised money would recommend backlit model,Negative,9
"This Kindle doesn't have a lighted screen like the pricier models but it has a higher dpi screen than the lower model. It's exactly what I needed, nothing more, nothing less. I've had no problems with the reader at all so far so I'll give it 5 stars.",kindle lighted screen like pricier models higher dpi screen lower model exactly needed nothing nothing less problems reader far give stars,Positive,21
The kindle is good to download apps for books catch up with reading,kindle good download apps books catch reading,Positive,7
"After the first one stopped working after only 3 weeks-best Buy replaced it with no fuss and it's going great. Small, lightweight (so fits in a purse/handbag) and with the anti-glare screen you can read in direct sunlight",first one stopped working buy replaced fuss going great small lightweight fits screen read direct sunlight,Positive,16
"I bought this Kindle Paperwhite for my son to use at school, instead of his more expensive and delicate tablet. The display options make it adaptable for just about anyone, and is much easier on the eyes when reading for an extended period of time. Please keep in mind that this does not have a glowlight. The Kindle is durable, and although I bought a case for it, a case really isnt necessary if you are relatively careful with it. The most surprising thing about this has been the extra long battery life. My son is an avid reader, and noticed that he needs to charge his Kindle considerably less than when he uses his tablet.",bought kindle paperwhite son use school instead expensive delicate tablet display options make adaptable anyone much easier eyes reading extended period time please keep mind glowlight kindle durable although bought case case really isnt necessary relatively careful surprising thing extra long battery life son avid reader noticed needs charge kindle considerably less uses tablet,Positive,54
"Great item, easy to use,would recommend to anybody want to use!",great item easy use would recommend anybody want use,Positive,9
I bought this as a gift to my dad and he loves it. Well worth if you dont plan on reading in dark.,bought gift dad loves well worth dont plan reading dark,Positive,10
the future of reading you just have this and it is like a whole library,future reading like whole library,Positive,5
"I bought this for my daughter, wanting to get her a kindle without having access to games (like with the kindle fire). This latest version of the kindle is excellent. I am jealous of my daughter and now am thinking about upgrading from my older kindle. The touchscreen is responsive. If you like reading on the kindle, it is worth the update.",bought daughter wanting get kindle without access games like kindle fire latest version kindle excellent jealous daughter thinking upgrading older kindle touchscreen responsive like reading kindle worth update,Positive,28
"This is a great way to read books on the go. There's no backlight, so reading in darker rooms may be hard. But it's affordable and portable and a great way to take all your books with you.",great way read books go backlight reading darker rooms may hard affordable portable great way take books,Positive,17
"I love the Kindle, it is a great product. It reduces eye strain so I enjoy reading on it. This is my second Kindle.",love kindle great product reduces eye strain enjoy reading second kindle,Positive,11
i bought this as a backup. I am currently using the same headphone.,bought backup currently using headphone,Neutral,5
"We got the Kindle for our daughter who accompanied us to try out the two Kindle models. We were willing to buy either one and we assumed she would want the more expensive one with the backlighting feature. But as she tried both, she gravitated with certainty toward the basic model. ""Why would U want to read in the dark?"" She said. As the weeks and months have gone by, she says she's completely happy with the basic Kindle, it's exactly what she wanted. Perfect.",got kindle daughter accompanied us try two kindle models willing buy either one assumed would want expensive one backlighting feature tried gravitated certainty toward basic model would u want read dark said weeks months gone says completely happy basic kindle exactly wanted perfect,Positive,43
"Good, able to read under bright sunlight conditions too",good able read bright sunlight conditions,Positive,6
Very easy to handle. many books to choose from and very convenient,easy handle many books choose convenient,Positive,6
I purchased this product because I love to read and buying books got costly. With this product I can read all I want for 10.00 a month,purchased product love read buying books got costly product read want month,Positive,12
it is smaller than i thought but it gets the job done.,smaller thought gets job done,Neutral,5
"Love my new Kindle! I hadn't read in a while and hesitant of a kindle, easy to use, lightweight and convenient to pick up a book. great for outdoor reading. only downside is if you want to read in the dark has no back light. crisp clear text and easy to set up.",love new kindle read hesitant kindle easy use lightweight convenient pick book great outdoor reading downside want read dark back light crisp clear text easy set,Positive,26
"Product is good, light. Amazing battery backup. I charge the Kindle one in 4 weeks. Great product for reasonable price. USB connection is easy, Books are easy to download. Overall, everyone must have Kindle with them and this is the best product/model to start with.Understandably, this is the beginner level model for people who never used Kindle before. Features like LED lights, White paper background are not available on this model. These features are there on higher models so one cannot read it in Dark without lights. But again, for this price you would not get any other good readers.If you are someone who reads in dark then I would suggest go for Higher Kindle models.",product good light amazing battery backup charge kindle one weeks great product reasonable price usb connection easy books easy download overall everyone must kindle best start beginner level model people never used kindle features like led lights white paper background available model features higher models one read dark without lights price would get good someone reads dark would suggest go higher kindle models,Positive,63
Kindle is the perfect E-reader. Easy to use and size is perfect to bring 'book' on the go.,kindle perfect easy use size perfect bring go,Positive,8
Easy to use and it arrived exactly as described. Good beginner device for youngsters who want a device to read from.,easy use arrived exactly described good beginner device youngsters want device read,Positive,12
Looking at the picture and seeing it was 8th generation I assumed it would be a great device. I had an original Kindle but I stopped using it because it wasn't backlit. I thought an 8th generation would be backlit and the picture makes it look backlit but it is not. After 25 minutes on the phone with Amazon trying to make it brighter the technician finally realized that 8th generation is not supported with backlights. I took it back to Target and purchased The Paperwhite which was more money but definitely worth it. The 8th generation one is smaller so I assumed that was the reason for the price difference. Target made the experience pleasant.,looking picture seeing generation assumed would great device original kindle stopped using backlit thought generation would backlit picture makes look backlit minutes phone amazon trying make brighter technician finally realized generation supported backlights took back target purchased paperwhite money definitely worth generation one smaller assumed reason price difference target made experience pleasant,Positive,52
My fiance really enjoyes it! I would definitely recommend.,fiance really enjoyes would definitely recommend,Positive,6
"For me, the Kindle Black was not a good fit for me. There are times I read at night in bed when my husband is sleeping. This model doesn't have a back light so I'm unable to read at night without turning on a light and waking up my husband.So I returned and went for a Kindle Fire.",kindle black good fit times read night bed husband sleeping model back light unable read night without turning light waking returned went kindle fire,Positive,24
"It is still the best device for buying books and reading them. However, go with kindle paperwhite if you read books in dark places.",still best device buying books reading however go kindle paperwhite read books dark places,Positive,14
Great product and service and the sales man r really nice.,great product service sales man r really nice,Positive,8
"When you first turn on the kindle, the home screen does not make it easy to determine exactly how to open up and read a downloaded book.",first turn kindle home screen make easy determine exactly open read downloaded book,Positive,13
"My wife loves it, replaces a Kindle from like 2003.",wife loves replaces kindle like,Neutral,5
"It's small, light, and easy to read from. I just wish I would have spent the extra 30 bucks and got the paperwhite. The more i use this one the more I wish I had the option of a backlight. If you're on the fence as I was, go with the paperwhite! However if the backlight is not an issue, this device is great and I would recommend it.",small light easy read wish would spent extra bucks got paperwhite use one wish option backlight fence go paperwhite however backlight issue device great would recommend,Positive,26
This device is good for entry level reader only in daylight.Its doesnot support reading in dark. To read in dark you will have to purchase a light or cover case with light attached. I either case it will put a lot of strain in your eyes.,device good entry level reader doesnot support reading dark read dark purchase light cover case light attached either case put lot strain eyes,Positive,23
"I love my new Kindle. The size is perfect. It fits right in my purse. Easy to navigate and I love the touch screen. I am able to read outside without a glare. Only flaw is that it is not backlit, so in order to read in the dark I need a book light. I don't mind that so much, I just wish kindle would come out with a case for this Kindle with a built in book light like they did for the first generation Kindle.",love new kindle size perfect fits right purse easy navigate love touch screen able read outside without glare flaw backlit order read dark need book light mind much wish kindle would come case kindle built book light like first generation kindle,Positive,41
it would not load my books proper. took a dozen tries erasing an dreregistering. screen too dark,would load books proper took dozen tries erasing dreregistering screen dark,Negative,11
"I bought this for my daughter. It is our 4th Kindle bought within the family. The touchscreen is great and my daughter loves it. In fact, those of us with older model Kindles are jealous.",bought daughter kindle bought within family touchscreen great daughter loves fact us older model kindles jealous,Positive,16
"This is a pretty cool little device. Im able to download books through wireless and read them later at my convenience. Only drawback is I wish it had more storage. But for the price, it works good.",pretty cool little device im able download books wireless read later convenience drawback wish storage price works good,Positive,18
Exactly what I was looking for size wise and functional.,exactly looking size wise functional,Positive,5
"As always, great job! Very easy to use and it's always with me. Only problem I have is the button on the bottom is touchy, but not really an issue. Keep up the good work",always great job easy use always problem button bottom touchy really issue keep good work,Positive,15
"I especially like the Amazon has a system to convert pdf to kindle format. Some of the things I read (journal articles) are in pdf format and I can email them to my kindle email and it shows up on my kindle with kindle format (larger text). You can find your kindel email at your account information. Only thing, I would have like a screen little larger.",especially like amazon system convert pdf kindle format things read journal articles pdf format email kindle email shows kindle kindle format larger text find kindel email account information thing would like screen little larger,Negative,34
Im happy to have it. Very comfortable and easy to use every where,im happy comfortable easy use every,Positive,6
"This is my eighth Kindle. Some others were either lost or screen-damaged. I bought it as a spare. Current model is better looking than earlier versions (white case), sturdier, and has an improved screen. Great price also; wish I'd bought two.",eighth kindle others either lost bought spare current model better looking earlier versions white case sturdier improved screen great price also wish bought two,Positive,24
My nephew is going to college next year and we want to give him a gift. Kindle suits it well for him to learn and study.,nephew going college next year want give gift kindle suits well learn study,Neutral,13
Excellent lightweight way to take a lot of reading materials along when traveling.,excellent lightweight way take lot reading materials along traveling,Positive,9
"I love my Kindle! I'm back to reading so much more often as I always have several books with me at all times! At first it surprised me that this version doesn't have a back light and you need a light to read, but I actually like it now as I don't get the eye strain like I do when using my phone.",love kindle back reading much often always several books times first surprised version back light need light read actually like get eye strain like using phone,Positive,26
"I love having real books, but these are great for travel and keeping your bookshelves lighter. I wish you could buy them with larger storage without having to buy the larger size pad. It also sucks that they are 4gig, but 1gig is taken up by the OS and advertising. Seriously? It reads PDFs and needs a 1 gig OS. Lame. The last thing I would change is being able to reverse the lettering so at night you could have white lettering and a black background, so it's less bright on the eyes.",love real books great travel keeping bookshelves lighter wish could buy larger storage without buy larger size pad also sucks taken os advertising seriously reads pdfs needs gig os lame last thing would change able reverse lettering night could white lettering black background less bright eyes,Positive,46
It's a perfect gift for young adult during the holiday session.,perfect gift young adult holiday session,Positive,6
"The screen is too dark, and cannot adjust the brightness",screen dark adjust brightness,Negative,4
I should have purchased a kindle sooner. It's easy to use and I love it!,purchased kindle sooner easy use love,Positive,6
This was purchased as a gift and they've absolutely loved it.,purchased gift absolutely loved,Positive,4
Great Gift for anyone. Very easy to setup. Coexist with all IOT Devices. Alexa is AWESOME!,great gift anyone easy setup coexist iot devices alexa awesome,Positive,10
Super excited to give this as a gift. It's super convenient that Best Buy has Echo products in store instead of having to purchase from Amazon.,super excited give gift super convenient best buy echo products store instead purchase amazon,Positive,14
"We bought this for mother in law, buying another for me.",bought mother law buying another,Neutral,5
"Well designed, good sound, has everything Alexa has plus the HD video. Always ready with answers with associated video or text if applicable. Can show movie trailers, can also watch Amazon video. Excellent on-demand security video with Amazon compatible cameras. Voice activated message and/or video calls to Amazon Show owners or Alexa App holders. Highly recommended.",well designed good sound everything alexa plus hd video always ready answers associated video text applicable show movie trailers also watch amazon video excellent security video amazon compatible cameras voice activated message video calls amazon show owners alexa app holders highly recommended,Positive,42
I have one Alexa and three Echo dots and having Echo Show now is awesome!,one alexa three echo dots echo show awesome,Positive,8
Omg I love my amazon show it is sooo cool and does a lot of cool stuff,omg love amazon show sooo cool lot cool stuff,Positive,9
Great looking design. Amazon Echo Show was easy to set up and use.,great looking design amazon echo show easy set use,Positive,9
The product is very entertaining and useful. Would recommend it to anyone.,product entertaining useful would recommend anyone,Positive,6
Got it for few weeks but it kind of fades away from your life.,got weeks kind fades away life,Positive,6
This device is awesome ‘ really lets you get very excited about smart home technology ‘ I’m buying a second one for my upstairs,device awesome really lets get excited smart home technology buying second one upstairs,Positive,13
I purchased this for my daughter and when I tell you she was so happy she hugged the box then me and back to the box!,purchased daughter tell happy hugged box back box,Positive,8
Overall product is excellent. Speakers should have a capability to be used as Bluetooth speakers like the echo.,overall product excellent speakers capability used bluetooth speakers like echo,Positive,10
"I have the spot, dot and two shows, I started out with the spot and loved it so much I wanted a bigger one. This was a (Best Buy) ! No pun intended lol",spot dot two shows started spot loved much wanted bigger one best buy pun intended lol,Positive,16
"I was a little hesitant to spend the money to get this but I am so glad I did! Alexa always answers when I say the commands and I have noticed it is probably 95% right with any command that I have given. Love the fact that I can see things on the screen. Some of my news briefings have a picture/video so that's nice too. We also love the video call option. Planning on getting one for my grandma who is not as technologically advanced, and could just sit at a table and talk with the grandkids. Worth every penny.",little hesitant spend money get glad alexa always answers say commands noticed probably right command given love fact see things screen news briefings nice also love video call option planning getting one grandma technologically advanced could sit table talk grandkids worth every penny,Positive,43
"Great product, very much recommended. Service at Best buy is always the best",great product much recommended service best buy always best,Positive,9
"I bought 2 of these for gifts. I love my Echo and think the new one will be incredible too! After the holidays, I will buy one for myself!",bought gifts love echo think new one incredible holidays buy one,Positive,11
"I can watch videos, check my security cameras, and grey two for a fantastic price",watch videos check security cameras grey two fantastic price,Positive,9
"Dreams need topics, song lyrics scroll during song play, watch movies/trailers and etc. With it, if you can get it on sale, bought my for special deal at Best Buy for $129.99. not sure if the value is there at the regular price of$249.99. but it is very cool device.",dreams need topics song lyrics scroll song play watch etc get sale bought special deal best buy sure value regular price cool device,Positive,23
"information on weather, updates on music, events. Fun questions answered while working in kitchen. Good sound for a limited areaGreat sales assistance at Best Buy",information weather updates music events fun questions answered working kitchen good sound limited areagreat sales assistance best buy,Positive,18
bought for christmas present for son and family so we can communicate visually.,bought christmas present son family communicate visually,Neutral,7
"The Amazon echo is excellent. Easy to set up, and we now use it to automate the entire house from our air-conditioning thermostat to every light in the house with the Phillips hue bulbs. We went and got one for everyone in our family.",amazon echo excellent easy set use automate entire house thermostat every light house phillips hue bulbs went got one everyone family,Positive,21
"I have both an Amazon Echo and Amazon Show and prefer the Show with the video screen. I use the Show to display recipes when cooking, lyrics to the music I’m listening to and video conferencing with my family. I like seeing headlines of stories scroll across the screen along with the t8me and temperature.",amazon echo amazon show prefer show video screen use show display recipes cooking lyrics music listening video conferencing family like seeing headlines stories scroll across screen along temperature,Neutral,28
"I have only been using my Amazon Echo Show for a couple days now but it works great. The microphone picks up my voice very easily, the sound quality is great, and it looks nice sitting on my coffee table!",using amazon echo show couple days works great microphone picks voice easily sound quality great looks nice sitting coffee table,Positive,20
"this echo show lets you see so much, great item for your home!",echo show lets see much great item home,Positive,8
The Echo is very easy to use and has features that allow users to converse easily with others who may have a hard time learning how to communicate using newer videophone technology. This product removes those barriers.,echo easy use features allow users converse easily others may hard time learning communicate using newer videophone technology product removes barriers,Positive,21
I love my echo show I wish you could watch movies or tc shows or you tube so hopefully they will add that soon.,love echo show wish could watch movies tc shows tube hopefully add soon,Positive,13
Love all my Echo products and this one is exceptional as well. Was able to look in my house while away. Waiting for more update for access to apps in the future.,love echo products one exceptional well able look house away waiting update access apps future,Positive,15
"Little putsy so far, but there are continuous updates that I think will make this a great device to stay connected with family. Bought a second for my dad. Who knows, he might replace his land line someday if this gets better. I do think our original Echo is a bit better at responding, but I enjoy this one in the kitchen /aka hub of the house.",little putsy far continuous updates think make great device stay connected family bought second dad knows might replace land line someday gets better think original echo bit better responding enjoy one kitchen hub house,Positive,34
"It's at its heart an echo, but having a screen on it, with 1000s of things to do with it make it a much easier recommendation over the simarly priced screenless echo plus",heart echo screen things make much easier recommendation simarly priced screenless echo plus,Positive,13
Amazon - Echo Show is the best of all my Amazon products. I love the hands-free but able to see things on the screen.,amazon echo show best amazon products love able see things screen,Positive,11
I have 2 of these in my house work great I just bought 4 for Christmas gifts for my family,house work great bought christmas gifts family,Positive,7
"We love Alexa! Love being able to watch news briefings, seeing the lyrics to songs, and so much more! It's in our kitchen and we use it everyday!",love alexa love able watch news briefings seeing lyrics songs much kitchen use everyday,Positive,14
The unit does a good job of playing music from Amazon music. It hears your voice very good although it gets confused at times when I tell it to turn on a particular lamp and I have to slowly pronunciate it. Like that the music shows the lyrics. Do need a family account on Amazon music to plan different music on different units in different rooms at the same time though.,unit good job playing music amazon music hears voice good although gets confused times tell turn particular lamp slowly pronunciate like music shows lyrics need family account amazon music plan different music different units different rooms time though,Positive,38
It’s awesome being able to control the lighting and lots of other controls with this!,awesome able control lighting lots controls,Positive,6
"I’m a big echo fan, so this seemed like a no brainer. I like it a lot, but I’m disappointed about google pulling YouTube functionality. I also feel like the original echo speaker sounded a little better and listened better with kitchen related background noise.",big echo fan seemed like brainer like lot disappointed google pulling youtube functionality also feel like original echo speaker sounded little better listened better kitchen related background noise,Positive,28
"I was jealous when our son showed us his Amazon Show and some of the things it was capable of doing. Since AOL eliminated Instant Messaging, my wife and I were less able to communicate because our offices are on separate floors. So we got two Shows and two Spots and now not only can intercom easily but use Alexa for music and many other things. We will probably start using some smart home devices which Alexa can also control. It's a fun device which seems to be getting better all the time.",jealous son showed us amazon show things capable since aol eliminated instant messaging wife less able communicate offices separate floors got two shows two spots intercom easily use alexa music many things probably start using smart home devices alexa also control fun device seems getting better time,Positive,47
"We use this as a monitor for the amazon cloud camera! Works great we tell it to show us the camera ,and boom, there’s the video feed. Super easy to link our echo plus and the echo dot with the show!!",use monitor amazon cloud camera works great tell show us camera boom video feed super easy link echo plus echo dot show,Positive,22
We use echo almost every day. It is fun to ask questions. The music is great. We check the weather and listen to NPRnews,use echo almost every day fun ask questions music great check weather listen nprnews,Positive,14
Love playing music and talking to Alexa and looking at my camera three the screen,love playing music talking alexa looking camera three screen,Positive,9
"I love the Echo Show and this is the 3rd one I have purchased (two were presents for family at Christmas). This one was for me. I love being able to hear music, connect with family via video and ask Alexa questions. Best purchase I could have made!",love echo show one purchased two presents family christmas one love able hear music connect family via video ask alexa questions best purchase could made,Positive,25
"Awesome sound which was unexpected. It's nice seeing info on the screen such as recipes, song lyrics, weather, etc.",awesome sound unexpected nice seeing info screen recipes song lyrics weather etc,Positive,12
I love the capability to see it on the screen and it allows me to not have to use my hands.,love capability see screen allows use hands,Positive,7
Screen is really nice great for videos I would definetly recommend it,screen really nice great videos would definetly recommend,Positive,8
"We bought the two-for deal as presents. My mother will have a learning curve, but since the other one is going to my son, he can teach her! Looks like a neat appliance, but want to see if it can do more than weather, music and turning off the lights...",bought deal presents mother learning curve since one going son teach looks like neat appliance want see weather music turning lights,Neutral,21
By far my favorite Amazon product. I bought one for every bedroom in the home.,far favorite amazon product bought one every bedroom home,Positive,9
"Very fun to have music at the ready with a voice command. We use it with Amazon Unlimited which has nearly everything. Good to view recipes with Allrecipes, so we keep it in the kitchen for reference and musical ambience. The video is good too, it has youtube functionality. It would be nice to have regular tv though, but that is probably on the providers for now.. nice to have the photo background and lastly, to have lyrics on the screen when music is played!",fun music ready voice command use amazon unlimited nearly everything good view recipes allrecipes keep kitchen reference musical ambience video good youtube functionality would nice regular tv though probably providers nice photo background lastly lyrics screen music played,Positive,38
I was using the original Echo seldomly. Then I decided to get the Show... I use the Show a lot more. Was simple to set up and you can make calls with video. Great product,using original echo seldomly decided get show use show lot simple set make calls video great product,Positive,17
"I have to say it was a little confusing and frustrating when i was not getting the verification code from amazon , i waited for 20 minutes then i requested another code, nothing... then a nother one... and still nothing , i started to set up the device at 8.30 am and by 11.20 am i was fed up with it.. i had to step away.... after about 5 hours we went shopping and at the mall i recieved about 4 codes from amazon ....",say little confusing frustrating getting verification code amazon waited minutes requested another code nothing nother one still nothing started set device fed step away hours went shopping mall recieved codes amazon,Negative,31
My dad uses this as a speaker for the tv ...and loves it. He does use it in the traditional Alexa way...but the speaker option he discovered is an added benefit.,dad uses speaker tv loves use traditional alexa way speaker option discovered added benefit,Neutral,14
Alexa runs my entire house. The Echo show is a great addition to the Echo family. Everyone needs one!,alexa runs entire house echo show great addition echo family everyone needs one,Positive,13
Replaced a regular echo with this unit. Allows video chat with our son in college and replaces a digital picture frame at a very affordable price.,replaced regular echo unit allows video chat son college replaces digital picture frame affordable price,Neutral,15
We love the echo show. Best feature is the flash bringing that gives us a rundown on news and weather each morning.,love echo show best feature flash bringing gives us rundown news weather morning,Positive,13
"My girlfriend loves the echo show, I bought two of them...",girlfriend loves echo show bought two,Neutral,6
"Along with fire TV, a prime membership, an amazon music subscription, other home automation devices and the Alexa app on the phone this system is very functional.",along fire tv prime membership amazon music subscription home automation devices alexa app phone system functional,Neutral,16
"It’s Alexa, but it has a screen, and it sounds pretty decent for a countertop device. My wife loves having it in the kitchen for recipes, weather music and fun!",alexa screen sounds pretty decent countertop device wife loves kitchen recipes weather music fun,Positive,14
I purchased this as present for a friend and since I have an Echo I can video chat with her to check in. The quality of the video is great.,purchased present friend since echo video chat check quality video great,Positive,11
